experiment,request_id,dataset,policy,answer_tokens,reference_nll,kl_per_answer_token,nll_delta,first_answer_token_equal,teacher_forced_greedy_equal,short_greedy_exact,prediction,reference_prediction,benchmark_correct,reference_benchmark_correct,assignment_drop_fraction,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,chosen_k_counts
semantic_ep_refined_quality_gqa8_20260911,gqa_10288,gqa,stock,7,4.996253490447998,0.0,0.0,True,1.0,True,blue,blue,True,True,0.0,0.0,,,
semantic_ep_refined_quality_gqa8_20260911,gqa_10288,gqa,ep_refined_0.1_s0.05,7,4.996253490447998,0.0018490502843633294,-0.31256866455078125,True,1.0,True,blue,blue,True,True,0.0872093023255814,0.1415035112040362,0.11165610536650049,0.1694819309301285,"[358, 232, 599, 344, 287, 442, 1506, 12744]"
semantic_ep_refined_quality_gqa8_20260911,gqa_10288,gqa,ep_refined_0.2_s0.05,7,4.996253490447998,0.0011024650884792209,-0.11615705490112305,True,1.0,True,blue,blue,True,True,0.1744186046511628,0.23606002766118733,0.20441266864614258,0.2929505817457677,"[869, 977, 642, 883, 459, 640, 1696, 10346]"
semantic_ep_refined_quality_gqa8_20260911,gqa_10288,gqa,ep_refined_0.3_s0.05,7,4.996253490447998,0.0006187660619616508,-0.3063511848449707,True,1.0,True,blue,blue,True,True,0.2616279069767442,0.3244300336853754,0.28984585782851946,0.364404855612209,"[1547, 2193, 1056, 415, 302, 571, 1585, 8843]"
semantic_ep_refined_quality_gqa8_20260911,gqa_5691,gqa,stock,8,3.515533447265625,2.6193447411060333e-09,0.0,True,1.0,True,no,no,True,True,0.0,0.0,,,
semantic_ep_refined_quality_gqa8_20260911,gqa_5691,gqa,ep_refined_0.1_s0.05,8,3.515533447265625,0.001698827720247209,0.040743350982666016,True,1.0,True,no,no,True,True,0.08403361344537816,0.14068855131656038,0.11219409282700427,0.17524470334733552,"[18, 677, 499, 335, 306, 541, 1497, 13263]"
semantic_ep_refined_quality_gqa8_20260911,gqa_5691,gqa,ep_refined_0.2_s0.05,8,3.515533447265625,0.002077250275760889,0.10015296936035156,True,1.0,True,no,no,True,True,0.17507002801120447,0.23873130614703653,0.20412909007837485,0.2790592916950206,"[468, 1568, 994, 524, 404, 666, 1706, 10806]"
semantic_ep_refined_quality_gqa8_20260911,gqa_5691,gqa,ep_refined_0.3_s0.05,8,3.515533447265625,0.0017035548808053136,0.0029993057250976562,True,1.0,True,no,no,True,True,0.2661064425770308,0.3271451922020733,0.29304659322325,0.36692012288786485,"[1070, 2745, 1366, 482, 333, 644, 1475, 9021]"
semantic_ep_refined_quality_gqa8_20260911,gqa_4402,gqa,stock,7,3.5037059783935547,3.5378375784489435e-09,0.0,True,1.0,True,screen,screen,False,False,0.0,0.0,,,
semantic_ep_refined_quality_gqa8_20260911,gqa_4402,gqa,ep_refined_0.1_s0.05,7,3.5037059783935547,0.0022755295503884554,-0.04786038398742676,True,1.0,True,screen,screen,False,False,0.07964601769911504,0.1396891527415734,0.10589728453364822,0.16623134328358205,"[20, 422, 311, 202, 134, 308, 859, 8592]"
