topology,request_id,volume,workload,modality,image_count,iteration,wall_ms,prompt_tokens,output_token_ids
real_deepep,small_text_heavy,small,text_heavy,text_heavy,0,0,3998.474536,257,[2132]
real_deepep,medium_text_heavy,medium,text_heavy,text_heavy,0,0,4104.556416,1024,[2132]
real_deepep,large_text_heavy,large,text_heavy,text_heavy,0,0,4192.203378,4105,[2132]
real_deepep,small_mixed,small,mixed,mixed,1,0,4043.086945,299,[785]
real_deepep,medium_mixed,medium,mixed,mixed,2,0,4273.030791,2089,[40]
real_deepep,large_mixed,large,mixed,mixed,4,0,5161.89545,5932,[40]
real_deepep,small_vision_heavy,small,vision_heavy,vision_heavy,1,0,4027.553048,234,[785]
real_deepep,medium_vision_heavy,medium,vision_heavy,vision_heavy,2,0,4753.96092,1647,[785]
real_deepep,large_vision_heavy,large,vision_heavy,vision_heavy,6,0,5461.603787,7463,[785]
real_deepep,small_text_heavy,small,text_heavy,text_heavy,0,1,4006.945643,257,[2132]
real_deepep,medium_text_heavy,medium,text_heavy,text_heavy,0,1,4083.370167,1024,[2132]
real_deepep,large_text_heavy,large,text_heavy,text_heavy,0,1,4159.688177,4105,[2132]
real_deepep,small_mixed,small,mixed,mixed,1,1,4019.563135,299,[785]
real_deepep,medium_mixed,medium,mixed,mixed,2,1,4257.803339,2089,[40]
real_deepep,large_mixed,large,mixed,mixed,4,1,5142.681958,5932,[40]
real_deepep,small_vision_heavy,small,vision_heavy,vision_heavy,1,1,4261.660215,234,[785]
real_deepep,medium_vision_heavy,medium,vision_heavy,vision_heavy,2,1,4261.27009,1647,[785]
real_deepep,large_vision_heavy,large,vision_heavy,vision_heavy,6,1,5421.917141,7463,[785]
