batch_id,condition,step,layer,domain,n_ranks,max_local_rows,total_assignments,rank_max_assignments,rank_mean_assignments,rank_ratio,rank_cv,hottest_rank,expert_max_ms,expert_mean_ms,expert_ratio,dispatch_max_ms,dispatch_mean_ms,dispatch_ratio,combine_max_ms,combine_mean_ms,combine_ratio,critical_moe_ms
chat_vs_chat_rep1,chat_vs_chat,11,1,chat,4,390,2352.0,660.0,588.0,1.1224489795918366,0.15977345825249042,3,0.5292479991912842,0.5004080012440681,1.0576329672497575,0.510208010673523,0.4426720067858696,1.1525644333781468,0.3328000009059906,0.325032003223896,1.0238991779426214,1.3722560107707977
chat_vs_chat_rep1,chat_vs_chat,11,2,chat,4,362,2352.0,620.0,588.0,1.054421768707483,0.032357648963334096,1,0.6226879954338074,0.5570639967918396,1.1178033386108235,0.38841599225997925,0.32263999432325363,1.203868085463777,0.3682880103588104,0.34440799802541733,1.0693364047011207,1.379391998052597
chat_vs_chat_rep1,chat_vs_chat,11,3,chat,4,368,2352.0,798.0,588.0,1.3571428571428572,0.29622120714650074,2,0.5086719989776611,0.4867360070347786,1.045067534815264,0.536575973033905,0.4185839965939522,1.2818836300481193,0.3293760120868683,0.32394400238990784,1.0167683601390538,1.3746239840984344
chat_vs_chat_rep1,chat_vs_chat,11,4,chat,4,362,2352.0,692.0,588.0,1.1768707482993197,0.17122058433541795,0,0.4766719937324524,0.4687279984354973,1.0169479854488537,0.32784000039100647,0.31626399606466293,1.0366023463637535,0.3333759903907776,0.32971199601888657,1.0111127117488352,1.1378879845142365
chat_vs_chat_rep1,chat_vs_chat,11,5,chat,4,368,2352.0,710.0,588.0,1.2074829931972788,0.16534251160185895,0,0.4999679923057556,0.487296000123024,1.0260047120836873,0.3283199965953827,0.29685600101947784,1.1059907681429704,0.34406399726867676,0.34011200070381165,1.0116196916212514,1.172351986169815
chat_vs_chat_rep1,chat_vs_chat,11,6,chat,4,374,2352.0,790.0,588.0,1.3435374149659864,0.2202627176108319,0,0.4671359956264496,0.4615200012922287,1.0121684744290527,0.32207998633384705,0.3036080002784729,1.0608415655662282,0.34323200583457947,0.3380719944834709,1.015263054720023,1.132447987794876
chat_vs_chat_rep1,chat_vs_chat,11,7,chat,4,366,2352.0,746.0,588.0,1.2687074829931972,0.2505835662053319,2,0.4660800099372864,0.46250399947166443,1.0077318476590622,0.3805440068244934,0.34061600267887115,1.117222925028763,0.3203200101852417,0.3099920079112053,1.0333169953110364,1.1669440269470215
chat_vs_chat_rep1,chat_vs_chat,11,8,chat,4,368,2352.0,762.0,588.0,1.2959183673469388,0.27069146157586366,2,0.4894079864025116,0.48313599824905396,1.0129818274278632,0.3420799970626831,0.3107760027050972,1.100728479950529,0.3442240059375763,0.3383679986000061,1.0173066228538141,1.175711989402771
chat_vs_chat_rep1,chat_vs_chat,11,9,chat,4,358,2352.0,740.0,588.0,1.2585034013605443,0.24785628166308407,2,0.47206398844718933,0.4660879969596863,1.0128215949058648,0.3577600121498108,0.3170720040798187,1.1283241899204364,0.35923200845718384,0.34642400592565536,1.0369720409453298,1.189056009054184
chat_vs_chat_rep1,chat_vs_chat,11,10,chat,4,350,2352.0,648.0,588.0,1.1020408163265305,0.1172606406526408,0,0.47942399978637695,0.47550400346517563,1.008243876587021,0.2879999876022339,0.28515999764204025,1.009959285957628,0.3190079927444458,0.31357599794864655,1.0173227378094443,1.0864319801330566
